0.025	2.7538	0	0	0.025	2.7538	-0.0118	2.9997	-0.0785	0.9969
-0.0910959	3.59547	-0.145102	1.05196	-0.0911	3.5955	-0.1797	3.7797	-0.3239	0.9461
-0.36231	4.607	-0.396971	1.3279	-0.3635	4.6083	-0.5364	4.4935	-0.549	0.8358
-0.93773	5.14999	-0.882189	0.350609	-0.9411	5.1432	-1.0593	5.0961	-0.7396	0.673
-1.71586	5.48452	-1.02272	0.455552	-1.7169	5.4853	-1.7157	5.5498	-0.8838	0.4679
-2.36587	5.83737	-0.693747	0.432871	-2.3634	5.8372	-2.4643	5.8259	-0.9724	0.2334
-3.22668	6.0351	-1.29312	0.141681	-3.2312	6.0329	-3.258	5.9073	-0.9999	-0.0157
-3.89315	5.67146	-0.57147	-0.793609	-3.8877	5.6644	-4.0471	5.7886	-0.9646	-0.2639
-4.97052	5.66943	-1.78773	0.447483	-4.9797	5.6788	-4.7818	5.4775	-0.8686	-0.4955
-5.36188	5.03322	0.24955	-1.50228	-5.3465	5.0185	-5.4161	4.9934	-0.7181	-0.6959
-5.80971	4.25729	-1.02025	-0.667021	-5.8193	4.2636	-5.9101	4.3668	-0.5225	-0.8526
-6.00046	3.67344	0.206367	-0.765538	-5.9912	3.6727	-6.2327	3.6371	-0.2941	-0.9558
-6.3957	2.89634	-0.892546	-1.08849	-6.404	2.8939	-6.3637	2.85	-0.0471	-0.9989
-6.22963	1.76959	0.833494	-1.59046	-6.2166	1.7658	-6.2949	2.055	0.2028	-0.9792
-5.87754	1.24188	0.216305	-0.130073	-5.8822	1.2529	-6.0305	1.3022	0.4399	-0.898
-5.28974	0.703037	1.02971	-0.982747	-5.2836	0.6966	-5.5872	0.6388	0.6494	-0.7604
-4.87337	0.0798861	0.230741	-0.662986	-4.8794	0.0823	-4.9928	0.1064	0.8181	-0.575
-4.40766	-0.253418	0.78205	-0.276471	-4.4035	-0.2505	-4.2848	-0.2614	0.9354	-0.3535
-3.47209	-0.582108	1.38988	-0.487323	-3.4675	-0.5837	-3.5075	-0.4416	0.994	-0.1098
-2.48081	-0.435837	1.15331	0.564113	-2.4826	-0.4279	-2.7098	-0.4228	0.99	0.1409
-1.86102	-0.365658	0.559374	-0.183307	-1.8655	-0.3713	-1.9419	-0.2062	0.9239	0.3827
-1.47942	0.217791	0.43012	1.24853	-1.4804	0.2286	-1.2519	0.1946	0.7997	0.6004
-0.323617	0.904718	2.02202	0.636851	-0.3116	0.9001	-0.6833	0.7543	0.6253	0.7804
-0.244621	1.25378	-0.99546	0.322235	-0.2674	1.2514	-0.2717	1.4379	0.4115	0.9114
-0.0262235	2.15655	0.994659	1.58716	-0.0112	2.1661	-0.0431	2.2024	0.172	0.9851
-0.0529241	3.16733	-0.618255	1.07933	-0.0651	3.1635	0.0039	2.9999	0.0471	0.9989
0.474371	3.67773	1.38585	0.386904	0.4895	3.6725	0.1473	3.7848	0.2941	0.9558
0.479439	4.5411	-0.778514	1.47309	0.4631	4.5493	0.4813	4.5094	0.5225	0.8526
0.864183	5.05129	1.19747	0.162485	0.8791	5.0414	0.9851	5.1282	0.7181	0.6959
1.50243	5.80191	0.570439	1.37964	1.4977	5.8111	1.6269	5.6023	0.8686	0.4954
2.49969	6.122	1.63125	-0.15717	2.5077	6.1104	2.3664	5.9018	0.9646	0.2638
3.41812	5.88771	0.873128	-0.370071	3.4124	5.8861	3.1572	6.008	0.9999	0.0157
4.05334	5.95384	0.749009	0.340237	4.0524	5.9592	3.9496	5.9142	0.9724	-0.2335
4.52824	5.60243	0.505229	-0.882734	4.5264	5.5932	4.6938	5.6263	0.8838	-0.468
5.25029	5.20601	1.12862	-0.275228	5.255	5.2106	5.343	5.1624	0.7396	-0.673
5.90744	4.48304	0.646659	-1.26128	5.9038	4.4756	5.8564	4.5516	0.549	-0.8358
6.2492	3.91586	0.302345	-0.394764	6.2466	3.9224	6.2018	3.8324	0.3239	-0.9461
6.39256	3.08709	0.109137	-1.40075	6.3911	3.0795	6.3574	3.0498	0.0784	-0.9969
6.31839	2.21946	-0.207546	-0.904654	6.316	2.2232	6.3136	2.2531	-0.1719	-0.9851
6.31056	1.21003	0.102718	-1.46496	6.3129	1.2058	6.073	1.4923	-0.4115	-0.9114
5.94434	0.911765	-0.776655	0.248514	5.9377	0.9247	5.6507	0.8153	-0.6253	-0.7804
5.12671	0.151302	-1.16165	-1.63278	5.1238	0.1371	5.0734	0.2645	-0.7997	-0.6004
4.37014	0.192551	-0.822848	1.00983	4.3727	0.2125	4.3772	-0.1253	-0.9239	-0.3827
3.60567	-0.316011	-1.03111	-1.57189	3.6041	-0.3355	3.606	-0.3298	-0.99	-0.1409
2.72168	-0.136771	-1.14703	1.24581	2.7208	-0.1155	2.8081	-0.3361	-0.994	0.1097
2.4188	-0.169855	0.0585917	-0.773663	2.4279	-0.1851	2.0337	-0.1437	-0.9354	0.3535
1.24142	0.372704	-2.34235	1.50421	1.2233	0.3899	1.3315	0.2352	-0.8181	0.575
0.525851	0.856651	-0.0707209	0.093311	0.543	0.846	0.7456	0.7768	-0.6494	0.7604
0.52734	1.17332	0.0431553	0.567946	0.5282	1.1769	0.3128	1.4471	-0.4399	0.898
0.0488944	2.1681	-0.962862	1.62781	0.0413	2.1761	0.0603	2.204	-0.2028	0.9792
